Protocol,Site,HandshakeTime,PageLoadTime,DOMLoadTime,No.Plaintexts,PlaintextsEncodedSize,PlaintextsSize,PlaintextsLoadTime,HTML,HTMLEncodedSize,HTMLSize,HTMLLoadTime,JS/CSS,JS/CSSEncodedSize,JS/CSSSize,JS/CSSLoadTime,Images/Others,Images/OthersEncodedSize,Images/OthersSize,Images/OthersLoadTime,Domains,EncodedDataSize,TotalDataSize
quic,apple,0.486779,2.141894,1.390563,0,0,0,0,1,4577,24576,0.503707,9,191360,840041,3.723377,17,527762,536414,8.74223,4,723699,1401031
quic,apple,0.565572,2.478959,1.530933,0,0,0,0,1,4577,24576,0.592876,9,190931,840041,3.770851,17,527749,536414,11.386369,4,723257,1401031
quic,amazon,0.659065,2.370781,1.446468,0,0,0,0,1,26738,84883,0.96219,8,143210,515306,3.004521,13,108811,103146,5.402843,10,278759,703335
quic,amazon,0.699778,1.880941,1.372,0,0,0,0,1,26716,84659,0.958234,8,143232,515306,2.196248,13,107257,101624,4.576952,10,277205,701589
quic,apple,0.524102,2.450147,1.524336,0,0,0,0,1,4577,24576,0.55251,9,190937,840041,3.900493,17,527748,536414,11.530737,4,723262,1401031
quic,amazon,0.686926,2.088855,1.43419,0,0,0,0,1,26732,84888,0.942679,8,143317,515306,2.654948,13,108782,103146,4.523139,10,278831,703340
quic,imgur,0.479055,1.335871,1.334073,0,0,0,0,1,17045,77211,0.528897,4,188888,648930,1.939227,1,14640,14260,0.342925,4,220573,740401
quic,imdb,0.995235,4.756041,1.830949,0,0,0,0,1,15756,83052,1.121363,4,81770,279111,2.306018,43,765933,758161,61.538802,9,863459,1120324
quic,apple,0.496852,2.409254,1.604895,0,0,0,0,1,4577,24576,0.511155,9,190934,840041,4.432101,17,527747,536414,9.823307,4,723258,1401031
quic,imdb,0.76277,3.964953,1.535519,0,0,0,0,1,15694,83051,0.920504,4,81680,279104,1.873932,43,624143,616331,51.354856,9,721517,978486
quic,imgur,0.47912,1.385316,1.385316,0,0,0,0,1,17045,77211,0.528637,4,188888,648930,1.987103,1,14640,14260,0.229845,4,220573,740401
quic,imgur,0.527276,1.39476,1.39476,0,0,0,0,1,17045,77211,0.573025,4,188927,648930,1.937076,1,14640,14260,0.377702,4,220612,740401
quic,imdb,0.805961,4.607333,1.611291,0,0,0,0,1,15945,83052,0.924262,4,81770,279110,2.292369,44,589451,581304,54.700151,9,687166,943466
quic,amazon,0.764176,2.060858,1.493339,0,0,0,0,1,26743,84902,1.060582,8,143257,515306,2.674121,13,108739,103146,5.036597,10,278739,703354
quic,imgur,0.47098,1.34372,1.34372,0,0,0,0,1,17045,77211,0.529328,4,188903,648930,1.836354,1,14640,14260,0.233376,4,220588,740401
quic,amazon,0.754784,2.201514,1.485649,0,0,0,0,1,26741,84883,1.054522,8,143258,515306,2.63957,13,108757,103146,5.299626,10,278756,703335
quic,amazon,0.779042,2.317749,1.589273,0,0,0,0,1,26734,84888,1.117128,8,143265,515306,2.687808,13,108753,103146,5.404995,10,278752,703340
quic,imdb,0.859868,4.692551,1.604008,0,0,0,0,1,15870,83052,1.026168,4,81777,279111,2.107583,44,791100,782986,55.465351,9,888747,1145149
quic,imdb,0.731047,4.025282,1.458062,0,0,0,0,1,15662,83052,0.846849,4,81777,279110,1.935183,43,679966,672166,48.626185,9,777405,1034328
quic,apple,0.542751,2.615827,1.760446,0,0,0,0,1,4577,24576,0.566521,9,190935,840041,5.531407,17,527776,536414,11.659586,4,723288,1401031
quic,apple,0.451089,2.335046,1.382413,0,0,0,0,1,4577,24576,0.473184,9,190936,840041,3.586025,17,527774,536414,11.2187,4,723287,1401031
quic,amazon,0.740754,2.381043,1.742483,0,0,0,0,1,26801,85149,1.31695,8,143208,515306,2.239785,13,104196,98559,4.291811,10,274205,699014
quic,apple,0.542302,2.5149,1.674314,0,0,0,0,1,4577,24576,0.551648,9,190961,840041,4.829989,17,527774,536414,10.595943,4,723312,1401031
quic,amazon,0.665907,2.188207,1.411691,0,0,0,0,1,26745,84883,0.99395,8,143306,515306,2.910029,13,107704,103146,4.147217,10,277755,703335
quic,apple,0.536934,2.368731,1.621593,0,0,0,0,1,4577,24576,0.56729,9,190935,840041,4.248956,17,527785,536414,9.39213,4,723297,1401031
quic,imdb,0.697024,4.16447,1.338249,0,0,0,0,1,15811,83052,0.777504,4,81770,279111,1.946141,47,703053,693723,56.375979,10,800634,1055886
quic,imgur,0.549924,1.576466,1.576466,0,0,0,0,1,17045,77211,0.604459,4,188888,648930,2.211479,1,14640,14260,0.283286,4,220573,740401
quic,imdb,0.851911,3.918405,1.500128,0,0,0,0,1,15800,83051,1.042929,4,81770,279104,1.737952,43,653401,645639,42.862282,9,750971,1007794
quic,apple,0.482324,2.353103,1.522001,0,0,0,0,1,4577,24576,0.501459,9,190933,840041,4.25495,17,527826,536414,9.879123,4,723336,1401031
quic,apple,0.449882,2.257736,1.420747,0,0,0,0,1,4577,24576,0.476717,9,190956,840041,3.739537,17,527802,536414,8.488867,4,723335,1401031
quic,apple,0.515352,2.332689,1.445339,0,0,0,0,1,4577,24576,0.520281,9,190937,840041,4.147449,17,527758,536414,10.352162,4,723272,1401031
quic,imdb,0.745185,4.147199,1.524941,0,0,0,0,1,15913,83052,0.872238,4,81777,279110,2.143472,42,652442,645134,56.412218,9,750132,1007296
quic,amazon,0.794259,2.256767,1.543153,0,0,0,0,1,26736,84883,1.061858,8,143309,515306,3.177044,13,108757,103146,5.999692,10,278802,703335
quic,imdb,0.812177,5.89733,1.543491,0,0,0,0,1,15860,83052,0.847903,4,81763,279104,3.131254,47,703486,694446,73.476191,9,801109,1056602
quic,amazon,0.64415,1.894716,1.392701,0,0,0,0,1,26739,84888,0.940866,8,143217,515306,2.044076,13,108756,103146,4.417703,10,278712,703340
quic,imdb,0.968112,6.344207,2.098641,0,0,0,0,8,29549,106273,5.145456,8,299669,989002,4.377213,68,656781,640537,79.696293,27,985999,1735812
quic,apple,0.466982,2.144796,1.349431,0,0,0,0,1,4577,24576,0.504062,9,190961,840041,3.670531,17,527777,536414,10.210591,4,723315,1401031
quic,apple,0.444304,2.291088,1.460522,0,0,0,0,1,4577,24576,0.479551,9,190939,840041,4.266998,17,527775,536414,9.95348,4,723291,1401031
quic,apple,0.504695,2.526202,1.498304,0,0,0,0,1,4577,24576,0.530149,9,190957,840041,4.373097,17,527775,536414,12.085541,4,723309,1401031
quic,amazon,0.711848,1.949645,1.399563,0,0,0,0,1,26739,84888,1.000418,8,143160,515306,2.572259,13,108758,103146,4.800345,10,278657,703340
quic,imgur,0.45536,1.526396,1.526396,0,0,0,0,1,17045,77211,0.505498,4,188927,648930,2.274771,1,14640,14260,0.233447,4,220612,740401
quic,amazon,0.676053,1.982446,1.562145,0,0,0,0,1,26735,84755,1.06755,8,143258,515306,2.035757,13,109219,104687,3.172635,10,279212,704748
quic,imgur,0.510104,1.588218,1.588218,0,0,0,0,1,17045,77211,0.598552,4,188887,648930,2.304388,1,14640,14260,0.502172,4,220572,740401
quic,amazon,0.744575,1.941708,1.469504,0,0,0,0,1,26734,84883,1.003239,8,142581,515306,2.605754,13,108810,103146,3.91969,10,278125,703335
quic,amazon,0.68967,2.138867,1.50305,0,0,0,0,1,26735,84883,0.986667,8,142531,515306,2.251614,13,108809,103146,5.320947,10,278075,703335
quic,amazon,0.717611,2.144571,1.546985,0,0,0,0,1,26746,84883,1.086555,8,143306,515306,2.050104,13,107647,103146,5.442741,10,277699,703335
quic,imgur,0.542397,1.774423,1.770825,0,0,0,0,1,17045,77211,0.592124,4,188896,648930,3.295724,1,14640,14260,0.465635,4,220581,740401
quic,amazon,0.701998,1.811952,1.384102,0,0,0,0,1,26745,84902,0.971999,8,143266,515306,2.158028,13,108733,103146,4.448243,10,278744,703354
quic,apple,0.58299,2.535923,1.717686,0,0,0,0,1,4577,24576,0.602271,9,190960,840041,4.567329,17,527778,536414,11.087475,4,723315,1401031
quic,amazon,0.776965,2.375506,1.694764,0,0,0,0,1,26728,84760,1.173785,8,143210,515306,2.231717,13,110296,104687,5.382219,10,280234,704753
quic,imgur,0.449748,1.305563,1.305563,0,0,0,0,1,17045,77211,0.500225,4,188898,648930,1.912592,1,14640,14260,0.228841,4,220583,740401
quic,imdb,0.818699,4.281268,1.464011,0,0,0,0,1,15842,83052,0.88771,4,81740,279104,2.229566,44,629157,621103,49.363153,9,726739,983259
quic,imdb,0.832756,4.521337,1.589196,0,0,0,0,1,15965,83051,0.869321,4,81746,279111,2.536973,43,610262,602545,56.916377,9,707973,964707
quic,imdb,0.738546,3.848223,1.411168,0,0,0,0,1,15806,83052,0.82688,4,81770,279110,1.917516,43,552926,545169,48.76052,9,650502,907331
quic,apple,0.626012,2.668736,1.676804,0,0,0,0,1,4577,24576,0.655924,9,192384,840041,4.770046,17,527762,536414,11.613316,4,724723,1401031
quic,imgur,0.507376,1.455344,1.455344,0,0,0,0,1,17045,77211,0.559892,4,188903,648930,1.997921,1,14640,14260,0.292945,4,220588,740401
quic,apple,0.462959,2.262599,1.443542,0,0,0,0,1,4577,24576,0.470796,9,190935,840041,4.003108,17,527770,536414,9.992259,4,723282,1401031
quic,apple,0.469598,2.215427,1.402283,0,0,0,0,1,4577,24576,0.48928,9,190936,840041,3.716072,17,527773,536414,10.856675,4,723286,1401031
quic,amazon,0.698482,1.978209,1.43504,0,0,0,0,1,26741,84883,0.97427,8,143169,515306,2.49795,13,108787,103146,4.565444,10,278697,703335
quic,imdb,0.951416,4.875723,1.731599,0,0,0,0,1,15616,83052,1.068868,4,81688,279110,2.428781,50,596646,586067,58.417169,10,693950,948229
